tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_9051.tgz,1, 059655_002597849, LWASV, 2022/03/17 18:03:13.000000 UTC,59655,63.30000001,78, FRB-DETECTION-#2022-03-17-18:02:43.825984UTC_DM228.1_78eae39e8ba, 0:09:00, 2022/03/17 18:03:13.000000 UTC,21.768646,34.10173, TRK_RADEC, 22:36:50.39, 2022/03/17 18:12:13.000000 UTC, 0:09:00 
 DD002_9052.tgz,1, 059657_002614428, LWASV, 2022/03/19 11:04:49.000000 UTC,59657,63.30000001,78, FRB-DETECTION-#2022-03-19-11:04:21.056135UTC_DM308.1_5b854e589c7, 0:12:10, 2022/03/19 11:04:49.000000 UTC,14.930796,54.068527, TRK_RADEC, 15:45:10.75, 2022/03/19 11:16:59.000000 UTC, 0:12:10 
 DD002_9053.tgz,1, 059657_002615693, LWASV, 2022/03/19 14:07:30.000000 UTC,59657,63.30000001,78, FRB-DETECTION-#2022-03-19-14:07:04.224921UTC_DM277.0_dfd037688e4, 0:10:50, 2022/03/19 14:07:30.000000 UTC,17.865644,71.618767, TRK_RADEC, 18:48:21.76, 2022/03/19 14:18:20.000000 UTC, 0:10:50 
 DD002_9054.tgz,1, 059658_002623753, LWASV, 2022/03/20 10:00:59.000000 UTC,59658,63.30000001,78, FRB-DETECTION-#2022-03-20-10:00:28.960760UTC_DM308.1_996ae14090d, 0:12:10, 2022/03/20 10:00:59.000000 UTC,13.809031,39.683281, TRK_RADEC, 14:45:06.81, 2022/03/20 10:13:09.000000 UTC, 0:12:10 
 DD002_9055.tgz,1, 059659_002631031, LWASV, 2022/03/21 03:55:10.000000 UTC,59659,63.30000001,78, FRB-DETECTION-#2022-03-21-03:54:42.717603UTC_DM243.0_aa2f5506b93, 0:09:30, 2022/03/21 03:55:10.000000 UTC,7.808949,39.975056, TRK_RADEC, 8:42:14.27, 2022/03/21 04:04:40.000000 UTC, 0:09:30 
 DD002_9056.tgz,1, 059659_002631675, LWASV, 2022/03/21 05:27:42.000000 UTC,59659,63.30000001,78, FRB-DETECTION-#2022-03-21-05:27:15.603858UTC_DM228.5_97b8c40eb14, 0:09:00, 2022/03/21 05:27:42.000000 UTC,9.41033,46.048916, TRK_RADEC, 10:15:01.47, 2022/03/21 05:36:42.000000 UTC, 0:09:00 
 DD002_9057.tgz,1, 059662_002655316, LWASV, 2022/03/24 02:41:17.000000 UTC,59662,63.30000001,78, FRB-DETECTION-#2022-03-24-02:40:48.008880UTC_DM336.0_d6f00984ba6, 0:13:10, 2022/03/24 02:41:17.000000 UTC,6.611384,82.122375, TRK_RADEC, 7:39:58.80, 2022/03/24 02:54:27.000000 UTC, 0:13:10 
 DD002_9058.tgz,1, 059677_002799893, LWASV, 2022/04/08 04:15:28.000000 UTC,59677,63.30000001,78, FRB-DETECTION-#2022-04-08-04:14:55.760763UTC_DM204.2_78b79b4282c, 0:07:55, 2022/04/08 04:15:28.000000 UTC,9.122804,81.248848, TRK_RADEC, 10:13:33.58, 2022/04/08 04:23:23.000000 UTC, 0:07:55 
 DD002_9059.tgz,1, 059682_002850983, LWASV, 2022/04/13 11:34:58.000000 UTC,59682,63.30000001,78, FRB-DETECTION-#2022-04-13-11:34:28.674324UTC_DM115.2_b519696a8ef, 0:04:40, 2022/04/13 11:34:58.000000 UTC,17.070606,66.932487, TRK_RADEC, 17:53:58.55, 2022/04/13 11:39:38.000000 UTC, 0:04:40 
 DD002_9060.tgz,1, 059683_002862657, LWASV, 2022/04/14 16:33:24.000000 UTC,59683,63.30000001,78, FRB-DETECTION-#2022-04-14-16:32:39.773273UTC_DM87.3_91492a189b6f, 0:03:40, 2022/04/14 16:33:24.000000 UTC,22.020935,13.615133, TRK_RADEC, 22:57:10.12, 2022/04/14 16:37:04.000000 UTC, 0:03:40 
 DD002_9061.tgz,1, 059690_002931294, LWASV, 2022/04/21 20:23:44.000000 UTC,59690,63.30000001,78, FRB-DETECTION-#2022-04-21-20:23:16.607070UTC_DM268.1_e717c058a6d, 0:10:30, 2022/04/21 20:23:44.000000 UTC,2.205938,70.630005, TRK_RADEC, 3:15:43.85, 2022/04/21 20:34:14.000000 UTC, 0:10:30 
 DD002_9062.tgz,1, 059695_002978256, LWASV, 2022/04/26 17:35:49.000000 UTC,59695,63.30000001,78, FRB-DETECTION-#2022-04-26-17:35:20.866826UTC_DM174.3_457e20feb9d, 0:06:50, 2022/04/26 17:35:49.000000 UTC,23.84305,35.892586, TRK_RADEC, 0:47:04.05, 2022/04/26 17:42:39.000000 UTC, 0:06:50 
 DD002_9063.tgz,1, 059699_003011916, LWASV, 2022/04/30 04:54:40.000000 UTC,59699,63.30000001,78, FRB-DETECTION-#2022-04-30-04:54:12.882485UTC_DM384.6_9b174c36803, 0:15:00, 2022/04/30 04:54:40.000000 UTC,11.451372,38.529671, TRK_RADEC, 12:19:36.21, 2022/04/30 05:09:40.000000 UTC, 0:15:00 
 DD002_9064.tgz,1, 059702_003045134, LWASV, 2022/05/03 16:05:11.000000 UTC,59702,63.30000001,78, FRB-DETECTION-#2022-05-03-16:04:42.729853UTC_DM348.2_c4feaca49dd, 0:13:40, 2022/05/03 16:05:11.000000 UTC,22.892437,35.507668, TRK_RADEC, 23:43:47.03, 2022/05/03 16:18:51.000000 UTC, 0:13:40 
 DD002_9065.tgz,1, 059704_003060021, LWASV, 2022/05/05 05:23:36.000000 UTC,59704,63.30000001,78, FRB-DETECTION-#2022-05-05-05:23:08.532994UTC_DM57.0_78b1913897d1, 0:02:20, 2022/05/05 05:23:36.000000 UTC,12.142752,71.281898, TRK_RADEC, 13:08:19.75, 2022/05/05 05:25:56.000000 UTC, 0:02:20 
 DD002_9066.tgz,1, 059705_003073119, LWASV, 2022/05/06 14:20:20.000000 UTC,59705,63.30000001,78, FRB-DETECTION-#2022-05-06-14:19:51.498969UTC_DM397.1_9ef38e72813, 0:15:30, 2022/05/06 14:20:20.000000 UTC,21.219669,72.749352, TRK_RADEC, 22:10:28.48, 2022/05/06 14:35:50.000000 UTC, 0:15:30 
 DD002_9067.tgz,1, 059706_003078428, LWASV, 2022/05/07 03:36:44.000000 UTC,59706,63.30000001,78, FRB-DETECTION-#2022-05-07-03:36:16.436359UTC_DM57.0_dffe249eac10, 0:02:20, 2022/05/07 03:36:44.000000 UTC,10.535736,53.310108, TRK_RADEC, 11:29:03.31, 2022/05/07 03:39:04.000000 UTC, 0:02:20 
 DD002_9068.tgz,1, 059710_003123581, LWASV, 2022/05/11 18:54:49.000000 UTC,59710,63.30000001,78, FRB-DETECTION-#2022-05-11-18:54:21.830126UTC_DM209.9_cbc00882a9c, 0:08:20, 2022/05/11 18:54:49.000000 UTC,2.208851,49.991093, TRK_RADEC, 3:05:25.35, 2022/05/11 19:03:09.000000 UTC, 0:08:20 
 DD002_9069.tgz,1, 059726_003272558, LWASV, 2022/05/27 04:23:47.000000 UTC,59726,63.30000001,78, FRB-DETECTION-#2022-05-27-04:23:22.064980UTC_DM391.0_c3fdd32a83a, 0:15:19, 2022/05/27 04:23:47.000000 UTC,12.676771,65.147194, TRK_RADEC, 13:35:05.17, 2022/05/27 04:39:06.000000 UTC, 0:15:19 
