tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_8068.tgz,4, 059728_003888641, LWA1, 2022/05/29 16:50:33.000000 UTC,59728,63.30000001,78, FRB-DETECTION-#2022-05-29-16:50:07.012948UTC_DM246.3_6a7dd60e818, 0:09:40, 2022/05/29 16:50:33.000000 UTC,1.265271,20.492889, TRK_RADEC, 2:08:48.74, 2022/05/29 17:00:13.000000 UTC, 0:09:40 
 DD002_8071.tgz,3, 059731_003919423, LWA1, 2022/06/01 03:42:25.000000 UTC,59731,63.30000001,78, FRB-DETECTION-#2022-06-01-03:41:57.768563UTC_DM56.2_d01167089fa9, 0:02:20, 2022/06/01 03:42:25.000000 UTC,12.342881,72.125351, TRK_RADEC, 13:10:20.95, 2022/06/01 03:44:45.000000 UTC, 0:02:20 
 DD002_8084.tgz,3, 059823_005101727, LWA1, 2022/09/01 09:07:50.000000 UTC,59823,63.30000001,78, FRB-DETECTION-#2022-09-01-09:07:22.222658UTC_DM280.2_8328308696e, 0:11:00, 2022/09/01 09:07:50.000000 UTC,23.861494,73.437141, TRK_RADEC, 0:39:22.63, 2022/09/01 09:18:50.000000 UTC, 0:11:00 
 DD002_8085.tgz,3, 059824_005117359, LWA1, 2022/09/02 17:22:25.000000 UTC,59824,63.30000001,78, FRB-DETECTION-#2022-09-02-17:21:54.238118UTC_DM302.1_c427b2e6bdf, 0:11:50, 2022/09/02 17:22:25.000000 UTC,8.077936,65.486198, TRK_RADEC, 8:59:15.43, 2022/09/02 17:34:15.000000 UTC, 0:11:50 
 DD002_8086.tgz,4, 059828_005167552, LWA1, 2022/09/06 20:16:27.000000 UTC,59828,63.30000001,78, FRB-DETECTION-#2022-09-06-20:15:56.777129UTC_DM142.7_bdc51e94968, 0:05:40, 2022/09/06 20:16:27.000000 UTC,11.303347,26.341379, TRK_RADEC, 12:09:32.27, 2022/09/06 20:22:07.000000 UTC, 0:05:40 
 DD002_8089.tgz,3, 059832_005213487, LWA1, 2022/09/10 20:27:51.000000 UTC,59832,63.30000001,78, FRB-DETECTION-#2022-09-10-20:27:21.189237UTC_DM57.0_ffbbd184a8e5, 0:02:20, 2022/09/10 20:27:51.000000 UTC,11.686352,65.939262, TRK_RADEC, 12:36:44.35, 2022/09/10 20:30:11.000000 UTC, 0:02:20 
 DD002_8090.tgz,3, 059834_005231697, LWA1, 2022/09/12 06:53:21.000000 UTC,59834,63.30000001,78, FRB-DETECTION-#2022-09-12-06:52:49.558144UTC_DM75.2_8afc9a32b53e, 0:03:00, 2022/09/12 06:53:21.000000 UTC,22.339441,29.43491, TRK_RADEC, 23:07:53.65, 2022/09/12 06:56:21.000000 UTC, 0:03:00 
 DD002_8091.tgz,3, 059834_005236769, LWA1, 2022/09/12 17:59:07.000000 UTC,59834,63.30000001,78, FRB-DETECTION-#2022-09-12-17:58:36.489548UTC_DM57.0_8d5cd1f499a2, 0:02:20, 2022/09/12 17:59:07.000000 UTC,9.390536,42.033535, TRK_RADEC, 10:15:29.01, 2022/09/12 18:01:27.000000 UTC, 0:02:20 
 DD002_8092.tgz,3, 059870_005641261, LWA1, 2022/10/18 06:53:34.000000 UTC,59870,63.30000001,78, FRB-DETECTION-#2022-10-18-06:53:03.580055UTC_DM307.7_8b67062c934, 0:12:00, 2022/10/18 06:53:34.000000 UTC,0.70359,20.928608, TRK_RADEC, 1:30:02.62, 2022/10/18 07:05:34.000000 UTC, 0:12:00 
 DD002_8093.tgz,3, 059872_005670859, LWA1, 2022/10/20 18:41:16.000000 UTC,59872,63.30000001,78, FRB-DETECTION-#2022-10-20-18:40:33.375347UTC_DM317.4_bbfbc01aabb, 0:12:30, 2022/10/20 18:41:16.000000 UTC,12.602489,25.06991, TRK_RADEC, 13:27:33.99, 2022/10/20 18:53:46.000000 UTC, 0:12:30 
 DD002_8094.tgz,4, 059874_005689018, LWA1, 2022/10/22 10:15:29.000000 UTC,59874,63.30000001,78, FRB-DETECTION-#2022-10-22-10:14:58.662146UTC_DM116.9_69be7d0ebca, 0:04:40, 2022/10/22 10:15:29.000000 UTC,3.1248,86.811295, TRK_RADEC, 5:08:17.00, 2022/10/22 10:20:09.000000 UTC, 0:04:40 
 DD002_8095.tgz,3, 059879_005751802, LWA1, 2022/10/27 23:41:04.000000 UTC,59879,63.30000001,78, FRB-DETECTION-#2022-10-27-23:40:36.511367UTC_DM155.7_c7a5591cbdf, 0:06:10, 2022/10/27 23:41:04.000000 UTC,18.024889,52.798431, TRK_RADEC, 18:55:47.10, 2022/10/27 23:47:14.000000 UTC, 0:06:10 
